Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Valderiz,Bodegas y Viñedos Valderiz,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,15.0,14.0,19.0
Casajús Crianza,Bodegas J.A. Calvo Casajús,Castilla y León,Ribera del Duero,2012.0,Red,Tempranillo,14.0,14.0,18.0
Vallejondo Ecológico,Moral Díez Vinos y Viñas,Castilla y León,Ribera del Duero,2013.0,Red,Tempranillo,14.5,13.0,25.0
Convento Oreja Crianza,Convento de Oreja,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,15.0,15.0,11.5
Toralto,Heredad de Urueña,Castilla y León,Toro,2012.0,Red,Tempranillo,14.5,15.0,18.0
Entre Palabras,Valdemonjas Viñedos y Vino,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,14.0,15.0,16.0
Viña Almate La Guindalera,Bodegas y Viñedos Maestro Tejero,Castilla y León,Otros Castilla y León,2013.0,Red,Tempranillo,14.0,15.0,22.0
Santo Tempranillo,Heredad de Urueña,Castilla y León,Otros Castilla y León,2012.0,Red,Tempranillo,14.5,15.0,13.0
Moisés,Heredad de Urueña,Castilla y León,Toro,2011.0,Red,Tempranillo,14.5,14.5,24.0
Convento Oreja Roble,Convento de Oreja,Castilla y León,Ribera del Duero,2016.0,Red,Tempranillo,15.0,14.5,7.0
46 Cepas,Bodegas y Viñedos Maestro Tejero,Castilla y León,Otros Castilla y León,2015.0,Red,Merlot,14.0,14.0,10.0
Exuberantya Cabernet,Heredad de Urueña,Castilla y León,Otros Castilla y León,2014.0,Red,Cabernet Sauvignon,14.5,14.0,12.5
