Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price,Main Variety,Variety Count,Variety Class
Pontos Crianza,La Bodega de Pinoso,Comunidad Valenciana,Alicante,2005.0,Red,"Monastrell, Merlot, Cabernet Sauvignon",13.5,13.5,5.45,Monastrell,3,Mixed
Toscar Cabernet Sauvignon Crianza,Salvador Poveda,Comunidad Valenciana,Alicante,2005.0,Red,Cabernet Sauvignon,13.5,13.5,7.0,Cabernet,1,Pure
Enrique Mendoza Cabernet-Shiraz Reserva,Bodegas Enrique Mendoza,Comunidad Valenciana,Alicante,2003.0,Red,"Cabernet Sauvignon (70%), Syrah (30%)",14.5,13.5,13.0,Cabernet,2,Mixed
Toscar Merlot Crianza,Salvador Poveda,Comunidad Valenciana,Alicante,2005.0,Red,Merlot,13.5,13.0,7.0,Merlot,1,Pure
Principe de Salinas,Gutiérrez de la Vega,Comunidad Valenciana,Alicante,2004.0,Red,Monastrell,15.0,13.0,14.4,Monastrell,1,Pure
Borrasca,Salvador Poveda,Comunidad Valenciana,Alicante,2002.0,Red,Monastrell,14.5,13.0,20.0,Monastrell,1,Pure
Vinalopó Petit Verdot,Bodega Ntra. Sra. de las Virtudes,Comunidad Valenciana,Alicante,2006.0,Red,Petit Verdot,14.0,12.5,3.55,Petit,1,Pure
Enrique Mendoza Merlot Crianza,Bodegas Enrique Mendoza,Comunidad Valenciana,Alicante,2004.0,Red,Merlot,14.5,12.5,9.5,Merlot,1,Pure
Marqués de Riscal Sauvignon,Bodegas de los Herederos del Marqués de Riscal,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,13.0,16.0,8.68,Sauvignon,1,Pure
Mocén Sauvignon Blanc,Bodegas Mocén,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,13.0,15.0,5.5,Sauvignon,1,Pure
Sanz Sauvignon,Vinos Sanz,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,12.0,14.5,7.0,Sauvignon,1,Pure
Mantel Blanco Sauvignon Blanc,Álvarez y Díez,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,12.5,14.0,6.0,Sauvignon,1,Pure
Palacio de Bornos Sauvignon Blanc,Bodegas Palacio de Bornos,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,12.5,14.0,7.5,Sauvignon,1,Pure
Finca La Colina Sauvignon Blanc,Vinos Sanz,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,13.0,14.0,9.7,Sauvignon,1,Pure
Birlocho,Real Sitio de la Ventosilla (Pradorey),Castilla y León,Rueda,2007.0,White,"Verdejo, Viura",13.0,13.5,3.5,Verdejo,2,Mixed
Polígono 10 Sauvignon,Maria Jesús de la Hoz Monsalve,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,13.0,13.5,6.5,Sauvignon,1,Pure
Blanco Nieva Sauvignon,Viñedos de Nieva,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,12.5,13.5,5.25,Sauvignon,1,Pure
Bracamonte,Los Curros (Grupo Yllera),Castilla y León,Rueda,2007.0,White,"Verdejo (60%), Viura (35%), Sauvignon Blanc (5%)",12.5,13.0,3.77,Verdejo,3,Mixed
Monasterio de Palazuelos Sauvignon Blanc,Hijos de Alberto Gutiérrez,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,13.0,13.0,6.0,Sauvignon,1,Pure
José Pariente Sauvignon,Bodegas José Pariente,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,13.0,13.0,8.0,Sauvignon,1,Pure
Castelo de la Dehesa Verdejo-Viura,Bodegas Castelo de Medina,Castilla y León,Rueda,2007.0,White,"Verdejo (50%), Viura (50%)",12.5,12.5,2.75,Verdejo,2,Mixed
Señorío de Nava Verdejo-Viura,Bodegas Señorío de Nava,Castilla y León,Rueda,2007.0,White,"Verdejo, Viura",12.0,12.5,3.6,Verdejo,2,Mixed
Garci Grande Verdejo-Viura,Bodegas Garcigrande,Castilla y León,Rueda,2007.0,White,"Verdejo, Viura",12.0,12.5,3.0,Verdejo,2,Mixed
Señorío de Nava Verdejo-Sauvignon,Bodegas Señorío de Nava,Castilla y León,Rueda,2007.0,White,"Verdejo, Sauvignon Blanc",12.0,12.5,4.35,Verdejo,2,Mixed
Blume,Pagos del Rey,Castilla y León,Rueda,2007.0,White,"Verdejo, Otras",13.0,12.5,3.5,Verdejo,2,Mixed
Mocén Verdejo-Viura,Bodegas Mocén,Castilla y León,Rueda,2007.0,White,"Verdejo, Viura",12.5,12.0,4.0,Verdejo,2,Mixed
Monasterio de Palazuelos Verdejo-Viura,Hijos de Alberto Gutiérrez,Castilla y León,Rueda,2007.0,White,"Verdejo, Viura",12.5,12.0,3.0,Verdejo,2,Mixed
Sanz Clasico,Vinos Sanz,Castilla y León,Rueda,2007.0,White,"Verdejo, Viura",12.0,12.0,4.7,Verdejo,2,Mixed
Villa Narcisa Sauvignon Blanc,Bodega Javier Sanz Viticultor,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,12.5,12.0,7.4,Sauvignon,1,Pure
Oro de Castilla Sauvignon Blanc,Bodega Hermanos del Villar,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,12.5,12.0,5.7,Sauvignon,1,Pure
Martivillí Sauvignon,Angel Lorenzo Cachazo,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,13.0,12.0,6.25,Sauvignon,1,Pure
Trascampanas Sauvignon,Maria Jesús de la Hoz Monsalve,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,12.5,12.0,6.5,Sauvignon,1,Pure
Doña Beatriz Sauvignon,Bodegas Cerrosol,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,13.0,11.5,6.3,Sauvignon,1,Pure
Viña Sanzo Sauvignon,Rodríguez Sanzo,Castilla y León,Rueda,2007.0,White,Sauvignon Blanc,12.5,11.5,8.0,Sauvignon,1,Pure
Trascampanas Verdejo,Maria Jesús de la Hoz Monsalve,Castilla y León,Rueda,2007.0,White,Verdejo,13.0,15.0,6.0,Verdejo,1,Pure
Martinsancho Verdejo,Angel Rodríguez Vidal,Castilla y León,Rueda,2007.0,White,Verdejo,13.0,14.5,5.5,Verdejo,1,Pure
Cañada Real Verdejo,Vicente Sanz,Castilla y León,Rueda,2007.0,White,Verdejo,13.0,14.0,6.5,Verdejo,1,Pure
Castelo de Medina Verdejo,Bodegas Castelo de Medina,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,14.0,5.0,Verdejo,1,Pure
Marques de Riscal Verdejo,Bodegas de los Herederos del Marqués de Riscal,Castilla y León,Rueda,2007.0,White,"Verdejo (85%), Viura (15%)",13.0,14.0,7.67,Verdejo,2,Mixed
Marqués de Irún Verdejo,Marqués de Irún,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,13.0,5.0,Verdejo,1,Pure
Viña Cantosán Verdejo,Los Curros (Grupo Yllera),Castilla y León,Rueda,2007.0,White,Verdejo,13.0,13.0,4.0,Verdejo,1,Pure
Viña Sanzo Verdejo,Rodríguez Sanzo,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,13.0,7.0,Verdejo,1,Pure
Gran Cardiel Verdejo,Bodegas Félix Lorenzo Cachazo,Castilla y León,Rueda,2007.0,White,Verdejo,13.0,13.0,8.0,Verdejo,1,Pure
Aura Verdejo,Bodegas Aura,Castilla y León,Rueda,2007.0,White,Verdejo,13.5,13.0,6.0,Verdejo,1,Pure
Mantel Blanco Verdejo,Álvarez y Díez,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,13.0,5.5,Verdejo,1,Pure
Palacio de Menade Verdejo,Menade,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,13.0,6.5,Verdejo,1,Pure
Ermita Veracruz,Bodegas Veracruz (Aldial),Castilla y León,Rueda,2007.0,White,Verdejo,12.5,13.0,6.0,Verdejo,1,Pure
José Pariente Verdejo,Bodegas José Pariente,Castilla y León,Rueda,2007.0,White,Verdejo,13.0,13.0,8.0,Verdejo,1,Pure
Bracamonte Verdejo,Los Curros (Grupo Yllera),Castilla y León,Rueda,2007.0,White,Verdejo,13.0,12.5,4.5,Verdejo,1,Pure
Viña Mayor Verdejo,Hijos de Antonio Barceló (Viña Mayor),Castilla y León,Rueda,2007.0,White,Verdejo,12.5,12.5,5.1,Verdejo,1,Pure
